x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
-5.0020739459e+07,7.6816924932e+08,-2.0718140072e+06,-1.3201470906e+01,-2.3559419316e-01,2.9638575848e-01
-6.1421719740e+07,7.6788188417e+08,-1.8155443446e+06,-1.3189127877e+01,-4.2996982298e-01,2.9680715411e-01
-7.2808825309e+07,7.6742761051e+08,-1.5588836043e+06,-1.3169596487e+01,-6.2079254629e-01,2.9733196572e-01
-8.4180702955e+07,7.6680747225e+08,-1.3018804085e+06,-1.3152117270e+01,-8.1500354668e-01,2.9758333407e-01
-9.5534188688e+07,7.6602169724e+08,-1.0445927974e+06,-1.3130175335e+01,-1.0054927383e+00,2.9789914468e-01
-1.0686693212e+08,7.6507050903e+08,-7.8708370056e+05,-1.3103065665e+01,-1.1943944996e+00,2.9822598578e-01
-1.1817725917e+08,7.6395510800e+08,-5.2940030289e+05,-1.3076799019e+01,-1.3878148883e+00,2.9825195650e-01
-1.2946160103e+08,7.6267535577e+08,-2.7160698387e+05,-1.3044817400e+01,-1.5744364754e+00,2.9847164435e-01
-1.4071872601e+08,7.6123239665e+08,-1.3755565411e+04,-1.3011432924e+01,-1.7646891555e+00,2.9845328757e-01
-1.5194561933e+08,7.5962678096e+08,2.4410106887e+05,-1.2976420611e+01,-1.9540011329e+00,2.9835322786e-01
-1.6313982243e+08,7.5785884666e+08,5.0190162119e+05,-1.2937076578e+01,-2.1375756293e+00,2.9839530047e-01
-1.7429986065e+08,7.5592990113e+08,7.5959669860e+05,-1.2895327785e+01,-2.3266827989e+00,2.9814273160e-01
-1.8542230882e+08,7.5384008396e+08,1.0171271670e+06,-1.2850716051e+01,-2.5110502449e+00,2.9796876380e-01
-1.9650585750e+08,7.5159066968e+08,1.2744440065e+06,-1.2804703419e+01,-2.6950949734e+00,2.9769623728e-01
-2.0754775806e+08,7.4918229556e+08,1.5314906803e+06,-1.2754442895e+01,-2.8805895869e+00,2.9728833347e-01
-2.1854558896e+08,7.4661559239e+08,1.7882125279e+06,-1.2703513581e+01,-3.0611180909e+00,2.9693804695e-01
-2.2949783472e+08,7.4389194159e+08,2.0445602088e+06,-1.2649328070e+01,-3.2431414132e+00,2.9644539321e-01
-2.4040136170e+08,7.4101155390e+08,2.3004705258e+06,-1.2589745250e+01,-3.4233632953e+00,2.9596038050e-01
-2.5125486052e+08,7.3797604318e+08,2.5559044151e+06,-1.2532577192e+01,-3.6031903572e+00,2.9532550469e-01
-2.6205563377e+08,7.3478605546e+08,2.8108030288e+06,-1.2469385742e+01,-3.7814813356e+00,2.9468480379e-01
